高级篇,,,,,,
序号,章节,具体知识点,标题,内容,回答,提问时间
73,第3讲 函数依赖及范式的概念,什么是函数依赖,请问，为什么候选码是最小的超码,"完全依赖属性数肯定小于部分依赖属性数->候选码属性数肯定小于超码属性数。那么为什么说候选码是最小的超码？完全依赖和部分依赖不相交，那超码和候选码也应该不相交才对吧","同学你好！感谢你学习数据库系统概论（高级篇）课程。根据书本：定义6.4  设K 为R<U，F>中的属性或属性组合，若K    U，则K 为R 的候选码（candidate key）。注意U 是完全函数依赖于K，而不是部分函数依赖于K。如果U 部分函数依赖于K ，即K    U ，则K 称为超码（Surpkey）。候选码是一类特殊的超码，即候选码的超集（如果存在）一定是超码，候选码的任何真子集一定不是超码。若候选码多于一个，则选定其中的一个为主码（primary key）。祝，学习进步~",2020/10/29
74,第18讲 恢复技术（续）,恢复策略,未完成事务对数据的操作可能已经更新到数据库,"未完成事务对数据的操作可能已经更新到数据库你好，老师，咨询一下“未完成事务对数据的操作可能已经更新到数据库”，为什么会出现这种情况呢？正常情况下只有事务提交之后才更新到数据库上，为什么发生介质故障会导致这种情况。有点不太理解。","同学你好！感谢你学习数据库系统概论（高级篇）课程。需要理解事务的ACID特性。其中一致性，是指数据库必须从一个一致性状态变到另一个一致性状态。那么，请思考什么是非一致性状态。具体可以查看《数据库系统概论（第5版）》P294。“正常情况下只有事务提交之后才更新到数据库上”这句话的理解是偏差的。事务的COMMIT是指将事务中所有对数据库的更新写回到物理数据库中，并不代表，执行COMMIT的时候一次性写回。祝，学习进步~",2021/1/2
75,,,"老师您好，我想问您 数据库体系结构两级映像的原理是什么？谢谢","老师您好，我想问您 数据库体系结构两级映像的原理是什么？谢谢","同学你好！感谢你学习数据库系统概论（高级篇）课程。三级模式指的是外模式、模式和内模式。两级映像指的是外模式/模式映像和模式/内模式映像。物理数据独立性：对内模式的修改尽量不影响逻辑模式、外模式和应用程序。逻辑数据独立性：对逻辑模式的修改尽量不影响外模式和应用程序。举个不恰当的例子。外模式/模式映像映像可以理解为外模式与模式数据交互的桥梁，中间层。应用程序获取特定数据，通过调用外模式/模式映像提供的统一接口（比如视图）。模式发生改变时（例如增加新的关系，新的属性，改变属性的数据类型等），只需要修改外模式/模式映像即可。客户端的数据大都是通过拼接SQL的方式直接从数据库中的表上读取数据。一旦表的结构有一点变化，客户端的程序的相应部分就得改，当应用程序读取数据时，直接依赖数据库的视图，而不是表时，可以减少应用程序的修改。详细内容可以查看《数据库系统概论 （第5版）》第一章第三小节。祝学习进步~",2020/5/7
76,第21讲 封锁技术,封锁以及封锁协议,三级封锁协议,请问一下把一级封锁协议中的长写锁改为短写锁，可以防止丢失修改吗,"同学你好！感谢你学习数据库系统概论（高级篇）课程。关于长写锁与短写锁的定义，请同学解释一下。之后再作解答。祝学习进步~",2021/6/26
77,第20讲 并发控制概述,并发控制概述,关于课程中说的多处理机和单处理机？,"老师和课件中介绍到：多处理机系统中， 每个处理机可以运行一个事务， ... 实现多个事务真正的并行运行。关于其中的单处理机和多处理机，是对应CPU的核心，还是CPU的线程呢？CPU的线程也是模拟出的核心。这种事物的处理对应着核心还是线程的依据，是依照CPU的执行还是什么呢？","同学你好！感谢你学习数据库系统概论（高级篇）课程。了解线程与进程的差异可以阅读《操作系统概论》。本质上数据库（管理）系统是一类程序，其运行的事务可为子线程或子进程。不同系统实现各有差异，具体问题具体分析。根据老师视频概述，单处理机的多事务运行方式与多处理机的多事务运行方式的区别，可以看出单处理机是指只有一个处理器核心，多处理机具有多个处理器核心。祝学习进步~",2021/7/6
78,第9讲 数据库的物理设计,数据库的物理设计1,第10讲 后的检测作业，答案似乎错误,"如图所示，关于题目：关系模式R的整个属性组是码，则R满足的最高范式至少是（ ）。题目为最高范式至少为多少？在只能知道某个属性组是码的情况下，最高范式至少为2NF，因为非主属性可能存在传递依赖。最高范式至多为BCNF，主属性和非主属性都不存在传递依赖。最高范式可能为3NF，为码的属性组内存在传递依赖。或者题目中去掉“至少”一词。","同学你好！感谢你学习数据库系统概论（高级篇）课程。题目的条件为关系模式R的整个属性组是码，即所有属性都为主属性，没有非主属性。则最高范式至少为3NF。祝学习进步~",2021/7/6
79,,,,"关系模式客户(客户名、联系电话、配送地址)，主码是客户名 商品(商品名、类别），主码是商品名 店铺(店铺名、信誉度、注册地址)，主码是店铺名 销售(商品名，店铺名，销售价格)，主码是商品名，店铺名 购买(客户名，商品名，店铺名，购买价格)，主码是客户名，商品名，店铺名 想问下，1 以蓝色圈圈处客户名为例，为什么er图中主键要划横线，可以不划横线吗？2 为什么购买联系画的时候 只有购买价格一个椭圆，为什么不加上客户名，商品名，店铺名另外三个椭圆？","属性有下划线代表该属性是主键，画上比较直观购买联系的属性有4个，其中客户名，商品名，店铺名已经在相连接对应的实体中作为主键出现",
80,,,,"但是，当E-R图转为关系模型，比如下面的这两个例子：职工工作（职工号，产品号，工作天数）供应（产品号，供应商号，零件号，供应量）想问下，这两个例子的情况下，此时数据库中两张数据表的主键分别是什么？（就是卡在这一点不好理解）","在一个关系模型中,一个主键可以由多个属性组成。职工工作主键是 （职工号，产品号）供应主键是 （产品号，供应商号，零件号）",
81,,,,"每个User有userid,location和age三个属性，每本Book都有(bookid,booktitle,bookauthor,publicationYear,publisher,image）共6个属性，每个User可以对每本书（bookid）进行bookrating（评分）操作并有评分值rating。每个userid都可以对每个bookid进行购物(cart）操作，每本书(bookid)对每个用户(userid）进行推荐booktuijian）都有一个推荐度值(score）为此，我设计出2个关系User、Books，3个联系转换的关系Bookrating、Booktuijian、Cart。3个联系都包含有属性userid,bookid，表明它们都是User、Books的联系。，er图如下：但是，当将er图转换为下面的基本表（或者数据字典）时候，却发现了问题，在设置主键key的时候，不知道怎么设置了！！！一张表中只能有一个key。以bookrating图书评分表为例：想问下，1  如果是er图设计的问题，那么该怎么修改这里的er图，进而该设置表中的主键key？2  如果er图没什么大问题，那么该怎么设置表中的key？","在一个关系模型中,一个主键可以由多个属性组成。这里的主键就是（userid,bookid）",82,第3讲 函数依赖及范式的概念,什么是函数依赖,数据库外键,"设有课程关系Course（课程号，课程名，学分，开设专业号，先修课程号）和专业关系Speciality（专业号，专业名），则课程关系Course的外键是A.课程号B.开设专业号 C.先修课程号 D.开设专业号和先修课程号老师您好，这题是不是选D？表的外键是另一张表的主键，这只有两个表，怎么确定两个主键的，想不明白为啥先修课程号也是外键",同学你好，这道题的答案是D选项。“不仅两个或两个以上的关系之间可以存在引用关系，同一关系内部属性间也可能存在引用关系”，相关讲解课见mooc《数据库系统概论 基础篇》——第五讲：关系数据结构及关系的完整性 讲解及ppt p35-37，附基础篇链接：https://www.icourse163.org/course/RUC-488001。,2019/10/13
83,第22讲 并发调度的可串行性,可串行化调度与冲突可串行化调度,老师请教一个关于事务可串行化调度的问题,Sd=r1(A)w1(A)r2(A)w2(A)r2(B)w2(B)r1(B)w1(B)既然w1(A)和r2(A)冲突操作不能进行交换，那为什么不直接把r1(A)w1(A)一次性直接调到最后呢？这样不就可以交换了吗，感觉这一块不是很能理解。,"同学你好，“可串行化调度”的定位为：多个事务的并发执行是正确的，当且仅当其结果与按某一次序串行地执行这些事务时的结果相同，称这种调度策略为可串行化调度。一个调度Sc在保证冲突操作的次序不变的情况下，通过交换两个事务不冲突操作的次序得到另一个调度Sc',如果Sc'是串行的，称调度为冲突可串行化调度。该例题中w1(A)r2(A)和w2(B)r1(B)为不同事务对同一数据的读写操作，为冲突操作。是不可以调动的。因此不能像同学说的那样，直接将r1(A)w1(A)调到最后。并且用另一种方法思考：如果将r1(A)w1(A)调到最后，事务r2(A)的执行结果必然会发生变动，与“可串行化调度”调度的定义相违背。欢迎各位同学积极交流讨论，祝同学们学习进步~",2019/10/29
84,第4讲 数据依赖的公理系统,数据依赖的公理系统,求最小依赖集例题的疑问,"求A关于函数依赖集的闭包里面由AB→C可以得出C在里面为什么求B关于函数依赖集的闭包，AB→C不可以得出C在里面？","同学你好，关于函数闭包的求法请结合《第4讲 数据依赖的公理系统》加以理解，因为A→B，A→D，AB→C，所以A+={A，B，C，D}，所以AB→C中,B为冗余属性，A直接可以确定C。F转化为{A→B，A→D，A→C，C→D}进而B来说，除了自身，无法确定其他属性，所以B+={B}。",2019/11/3
85,第3讲 函数依赖及范式的概念(续),第三范式（3NF）,范式判断,"关系模式R属性集为{A,B,C}，函数依赖集F={AB->C,AC->B,B->C}，则R属于（）A.1NF B.2NF C.3NF D.BCNF
候选键是AB、AC，存在B->C，这个是不是非主属性对主属性的部分函数依赖？希望老师解答，谢谢！",同学你好，候选码为AB和AC，ABC都是主属性，不存在非主属性对码的部分函数依赖和传递依赖，所以STJ∈3NF。B→C存在主属性决定主属性，所以不符合BC范式。,2019/11/28
86,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化,"BC范式",STJ分解为ST（S，T）与TJ（T，J），那么ST（S，T）与TJ（T，J）中的函数依赖关系是什么？我不是很明白这其中的转换。,模式分解后的函数依赖是（S，T）→ST，T→J吗？这个时候（S，T）是全码，T是码。这个时候主属性是S和T，非主属性是J。分解模式之后，不存在非主属性部分依赖于码，因为唯一的非主属性J完全函数依赖于码T而与码（S，T）无关，这满足了第二范式，同时也没有非主属性对码的传递函数依赖，因为我们讨论的是非平凡函数依赖，所以（S，T）→T→J不在考虑范围内，因为（S，T）→T并不是非平凡函数依赖。那么这样就满足了第三范式。而同时，没有任何属性对码的部分函数依赖和传递函数依赖，所以满足BC范式。,2019/12/2
87,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化,范式定义中的码,主码、候选码、超码都是码，讲范式的时候老师所说的码到底指哪个？,同学你好，请结合第3讲中关于主码、候选码、超码概念对三个概念加以理解与区分，范式定义中“主码”和“候选码”都简称为“码”。相信在理解概念上的联系与区别之后，同学们可以很容易地根据上下文语义进行识别。,2019/12/8
88,第21讲 封锁技术,活锁和死锁,数据库的死锁是什么情况？,老师，数据库死锁一直不是很明白，请您解答,"同学你好！因为“先写日志”原则，我们可以想象这样一种情形，当事务T rollback时，我们把T rollback写入日志并刷到磁盘上，但尚未刷数据，即磁盘中的数据还未真正用更新前值代替更新后值，这时这个用户/线程的时间片到了，操作系统切换下一用户线程运行，然后下一用户时间片到了，又切换用户3线程运行，用户3线程运行过程中，发生了系统故障，这时候第一个用户的事务虽然回滚了，但数据库中仍然是回滚前的值，恢复时必须执行回滚操作。系统故障的恢复算法就保证了REDO所有已经提交的事务，UNDO所有已经回滚的事务。因为REDO和UNDO具有冪等性，所以即使重复UNDO或REDO也不会影响数据库的正确性。另外，若事务在系统故障之后发生无需回滚。",2019/12/16
89,第15讲 关系查询优化,查询优化的重要性,15讲查询优化的重要性的ppt上读取总块数的问题,ppt上写的读取总块数是1000/10+1000/（10*5）*10000/100=2100块，这里不应该就直接用1000/10+10000/100吗？,"同学你好，请仔细揣摩思考ppt p51-52页的讲解，内存中5块存放Stu元组，1块存放SC元组，元组装入内存之后，需要将SC中的每个元组和Stu中的元组做连接，因此1000/(5*10)=20,SC表会被装入20遍，每遍100块，因此一共读取2100数据块。主要需要理解SC表多遍读取，Stu表一遍读取。（平实一点的说法，每来5块Stu，SC都要被全表装入一遍）祝同学学习进步。",2019/12/17
90,第16讲 关系查询优化,物理优化,为什么二分法扫描全表代价是B/2？,为什么二分法扫描全表代价是B/2？,"同学你好。全表扫描，如果选择条件为“码=值”时：（1）扫描全表，顺序读取该表所对应的文件即可，无需二分法，找到输出即可结束此次查找，平均查找代价为B/2，最坏情况为B块。注意：使用二分法的前提，是表中记录在文件中是按照查找键排序的。（2）如果需要使用二分法，因为数据不一定是按照查找键排序的，所以平均查找代价仍然为B/2块。祝同学学习进步~",2019/12/18
91,第3讲 函数依赖及范式,什么是函数依赖,如何通过观察得到候选码,"已知关系模式R<U，F>U={A，B，C，D，E，G}，F={AC→B，CB→D，A→BE，E→GC}求关系R的候选码这道题的一般算法如何求解","同学你好，类似的问题，可见之前讨论区的问题“规范化中如何用计算的方法求出关系中的码”  https://www.icourse163.org/learn/RUC-1001655006#/learn/forumdetail?pid=1212139436  ，在这里给出了详细的回复和求解方式。附解析：求解关系模式中所有候选码时，最直观的方法就是采取枚举法，将所有可能的候选码列举出来。什么是可能的候选码？所有出现在关系模式中属性的组合，都有可能是候选码。我们的目标就是去掉那些明显不可能是候选码的属性组合，然后对可能是候选码的属性组合进行验证。比如：在关系模式 R<U，F>U={A，B，C，D，E，F} 函数依赖F={AE→F，A→B，BC→D，CD→A， CE→D}，求解关系中的候选码。首先列出所有可能的候选码包含单个属性的有：A B C D E F包含两个属性的有：AB AC AD AE AF BC BD BE BF CD CE CF…………包含全属性的有：ABCDEF    规则：如果某一个属性组合是候选码，则该属性组合的任何超集，一定不是候选码。    如何去判定某一个属性组合是候选码？    我们采用自顶向下、广度优先的方式，从单个属性开始，采用教材中求解闭包的方法，判断该属性是否为候选码，如果该属性为候选码，则包含该属性的所有属性组合一定不是候选码。如果该属性不是候选码，我们顺次检查下一个单个属性是否为候选码。采用类似的方法，直至所有可能的候选码都被检查到。以例题为例，首先检查单个属性的候选码：(A)+={AB}≠U , (B)+={B}≠U , (C)+={C}≠U, (D)+={D}≠U, (E)+={E}≠U, (F)+={F}≠U而后检查两个属性的候选码：(AB)+={AB}≠U, (AC)+={AC}≠U, (AD)+={AD}≠U, (AE)+={ABF}≠U, (AF)+={ABF}≠U, (BC)+={ABCD}≠U, (BD)+={BD}≠U, (BE )+={BE}≠U, (BF )+={BF}≠U, (CD )+={ABCD}≠U,(CE )+={ABCDEF}=U 因此CE为候选集。任何该属性组合的超集都不是候选码，即ACE, BCE, CDE,CEF, ABCE, ADCE, AFCE, BDCE, BFCE, DFCE……我们不需要对这些属性组合进行求解闭包，判断是否为候选码的检查方法，可以直接排除。类似地，继续检查剩余的其他候选码，直至所有的候选码都被检查或排除。最终，我们可以求解到，在该题中，CE为唯一候选码。采用上述方法，可以没有遗漏求解出关系中所有的候选码。为了对检查过程进行简化，以更快地求解，可以参考“LRN”法来判断和筛选，相关方法可以参考https://blog.csdn.net/Wonz5130/article/details/80464679。欢迎各位同学发表自己的见解。","2019-12-27"
92,第7讲 E-R模型及设计,E-R图及其设计,E—R图实体联系的名字是不唯一的吗？,E—R图实体联系的名字是不唯一的吗？,同学你好，结合实际数据应用场景，实体联系的名字可以重复。实体之间的联系通常是指不同实体集联系，反映了实体集之间的对应关系，通常有一对一、一对多、多对多等多种类型。相关讲解见第7讲和第8讲。祝同学学习进步`,2020/1/3
93,第3讲 函数依赖及范式,什么是函数依赖,候选码为什么是最小的超码？可否举例子说明？,候选码为什么是最小的超码？可否举例子说明？,"同学你好,需要搞清楚候选码和超码的概念，候选码强调完全函数依赖，超码强调部分函数依赖。进而候选码是最小的超码，候选码的任意真子集都不是候选码。课程第3讲课件p15中给出了具体的例子。对于学生表S（SNO,SDEPT,SAGE）SNO是候选码。SNO/(SNO,SDEPT)/(SNO,SAGE)/(SNO,SDEPT,SAGE)都是超码。其中，候选码SNO是最小的超码。",2020/4/2
94,第3讲 函数依赖及范式的概念,第三范式（3NF）,请您解答,"第二三范式，要求函数依赖""主码""还是""候选码""，还是这个问题没有意义，有点懵","同学你好，需要区分主码和候选码，当“候选码”多于一个时选定一个作为“主码”。2NF/3NF定义中指的的候选码。例如，2NF定义要求关系属于1NF，且每一个非主属性完全依赖于任何一个候选码。强调任一，不仅仅是多候选码中选定的“主码”。",2020/4/13
95,第3讲 函数依赖及范式的概念,什么是函数依赖,"""任何一个关系一定有码""这句话对吗?","""任何一个关系一定有码""这句话对吗?",同学你好，是正确的。最简单情况下，单个属性是主码；最极端的情况，整个属性组是主码。,2020/4/25
96,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）",投影分解法具体是怎么用的？,投影分解法具体是怎么用的？,同学你好，投影是从关系R中选取若干属性列组成新的关系，而投影分解法也就是从给定关系中投影出某可属性出来组成新的关系。具体可以参考6.2节的例题及讲解。,2020/5/19
97,第7讲 E-R模型及设计,E-R图及其设计,例题7.1,"订单细则和产品为什么是一对多的联系，书上写的是每条订货细节对应一个产品描述以及订单细则中零件号是否设产品好",同学你好，每条订货细则对应一个 产品描述，而一个产品可以在多条订货细则中出现，故书中图7.23产品与订单细节为1: n的关系。欢迎各位同学发表自己的见解，祝同学们学习进步~,2020/5/19
98,第3讲 函数依赖及范式的概念,什么是函数依赖,关于全码的问题,码的定义，是关系模式R(U)，U的子集K，K->U在R上成立，则K是R的码。而视频中提到的的全码的演奏者-作品-听众的例子，我没能看PWA三个属性或者他们的组合各自都能决定整个属性集，那就没有就没法满足码的定义K->U了呀，不知道我哪理解错了,"同学你好，在（演奏者P,作品W,听众A）这个关系模式中，一个演奏者可以演奏多个作品，某一作品可以被多个演奏者演奏，听着也可以欣赏不同演奏者的不同作品。故整个属性组是码称为全码。可以仔细理解一下候选码、全码的概念。欢迎各位同学发表自己的见解，祝同学们学习进步~",2020/5/22
99,第16讲 事务的基本概念以及数据库恢复概述,事务的基本概念以及数据库恢复概述,数据库事务,"这几天学了数据库恢复技术其中有一点不是太懂 rollback 和 undo 有什么区别吗？","UNDO只指事务故障发生后的恢复操作。而故障意味着事务没有达到预期的终点（COMMIT或者显示的ROLLBACK）。UNDO实现了强行回滚，撤销了该事务已经作出的任何对数据库的修改。ROLLBACK是指可以通过事务程序本身发现并回滚的，撤销已作的修改，恢复数据库到正确的状态。REDO是对故障发生前已经提交的事务进行重做。可能概念和解释会比较抽象，同学们可以借助于课本或PPT上的例子以及习题加深理解。祝同学们学习进步~",2020/5/24
100,第3讲 函数依赖及范式的概念,什么是函数依赖,码的概念是不是和超码的概念一样？,码的概念是不是和超码的概念一样？,"同学你好，（1）教材中的码，指的是候选码。设K是关系模式R<U,F>中的属性或属性组，若K完全函数确定U，则K为R的候选码。通俗地讲，若关系中的一个属性或属性组的值能够唯一地标识一个元组，且其真子集不能唯一的标识一个元组，则该属性或属性组为候选码。（2）超码：设K是关系模式R<U,F>中的属性或属性组，若K部分函数确定U，则K为R的超码。候选码与超码的关系：候选码是一类特殊的超码，即候选码的超集（如果存在）一定是超码，候选码的任何真子集一定不是超码。欢迎各位同学发表自己的见解，祝同学们学习进步~",2020/6/9
101,第23讲 封锁的粒度以及小结,封锁的粒度以及小结,加上X锁的数据也可以被其他事务读吧,加上X锁的数据也可以被其他事务读吧，要是加上x锁之后不能被其他事务读取就不会读到脏数据了,"同学你好，加上排他锁的数据只允许被当前事务读取和修改。你提问的问题与运用X锁和S锁时的封锁协议有关，即何时申请X锁或S锁、封锁时间、何时释放等。对封锁方式制定不同的规则，形成了各种不同的封锁协议。对并发操作的不正确调度可能会带来丢失修改、不可重复读、脏读等不一致性问题。三级封锁协议分别在不同程度上解决了这些问题。同学可以学习书本第11.3节封锁协议（即mooc第21讲内容）的内容加深理解。",2020/6/10
102,第23讲 封锁的粒度以及小结,封锁的粒度以及小结,什么是三级封锁协议,什么是三级封锁协议,可以结合教材《数据库系统概论（第5版）》学习下MOOC第21讲内容。,2020/6/22
103,第20讲 并发控制概述,并发控制概述,关于“并发”,"请问下1    如何理解“并发”这个概念？2    什么叫“用户并发数”？3    什么叫“并发控制”？",可以结合教材《数据库系统概论（第5版）》学习下MOOC第20讲内容。,2020/6/23
104,第23讲 封锁的粒度以及小结,封锁的粒度以及小结,关于SIX锁的疑问,一个数据对象加了SIX锁之后，先对他加S锁（此时他的全部后代结点加了隐士S锁），再加IX锁，表示对后代某个结点加X锁，可是其后代结点已经全部加S了，可是S与X不可以同时加吧？？SIX不矛盾吗？？,同学你好，可以仔细学习下课程23讲内容。如果对一个数据对象加SIX锁，表示该事务要读整个表（对该表加S锁），同时会更新个别元组（加IX锁）。可以结合下相融矩阵进行理解。欢迎各位同学发表自己的见解。,2020/6/27
105,第7讲 E-R模型及设计,E-R图及其设计,无法理解关系模式,无法理解e-r图到关系模式的分解，以及bcnf和3nf的区别,同学你好，建议多多结合课程视频加以学习理解哦，可以参考教材《数据库系统概论（第5版）》和《数据库系统概论（第5版）习题解析与实验指导》中的例题。,2020/6/28
106,第7讲 E-R模型及设计,E-R图及其设计,E—R图,图中的实体见的联系怎么确定？,同学你好，根据具体题目中的描述进行分析和确定哦，可以结合例题进行理解学习。,2020/7/4
107,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）",范式,范式中主属性和候选键有关还是主键有关,同学你好，与候选码有关。包含在任何一个候选候中的属性成为主属性。,2020/6/20
108,第7讲 E-R模型及设计,E-R图及其设计,ER模型,ER模型关系的属性是由实体决定的吗,同学你好，关系的属性由实际数据场景决定,2020/6/20
109,第3讲 函数依赖及范式的概念,函数依赖,函数依赖,函数依赖,"同学你好！感谢你学习数据库系统概论（高级篇）课程。候选码的定义：若关系中的某一属性组的值能唯一地标识一个元组，则称该属性组为候选码。A是候选码。祝，学习进步~",2020/12/23
110,第3讲 函数依赖及范式的概念（续）,BC范式（BCNF），规范化小结,关于BCNF问题-- 6.2.6中，T为什么不是码？,"在STJ关系中，T为什么不是码？连（S，T）-> J, （S，T）都是码，T为什么不是码码的定义是K-（F）>U，U为一组属性 『注释：这里的一组属性，我理解的是关系R属性的子集』则K为R的候选码，T->J，那么T是码。对不对？？？？？？？？？？求问求问求问。。。。。","同学你好！感谢你学习数据库系统概论（高级篇）课程。关于码的定义：设K为R<U，F>中的属性或属性组合，若U是完全函数依赖于K，则K是R的候选码。请注意，U是指关系R中的所有属性，K为R的属性或者属性集合。由于上述依赖关系不能推出T->STJ，故T不构成码。祝学习进步~",2021/3/19
111,第4讲 数据依赖的公理系统,数据依赖的公理系统,题目,"""已知关系模式R(U，F)，其中U={A，B，C，D，E，F}，F={AB→CD，A→D，BC→D，CE→F，C→E}，若将R分解为R1(ABC)、R2(BCD)和R3(CEF)，设F1、F2、F3分别为R1、R2、R3的函数依赖集，则以下说法正确的是（   ）A.F1={A→C，B→C}   B.F3={C→E， C→F}   C.F2={B→CD， BC→D}   D.F1= ?请问这道题应该选什么呢？""","同学你好！感谢你学习数据库系统概论（高级篇）课程。这道题目的侧重点为模式分解与函数依赖。具体内容可以查看《数据库系统概论 （第5版）》第6章内容。关系模式R的函数依赖集F进行拆分，如AB->CD分解为AB->C, AB->D。由于R1,R2,R3为R的分解，则其对应的F1,F2,F3函数依赖集为F的子集。在F的限制条件下，利用闭包求解即可。比如R1(A,B,C)，则由F可得AB->C。对A求闭包，不可推出A->C,以及A->B，则选项A与D错误。祝学习进步~",2021/5/28
112,第4讲 数据依赖的公理系统,数据依赖的公理系统,老师，我对讲范式的时候老师提到的投影分解法有疑问,"投影分解法是什么方法，如何操作的，我没有学过基础篇，是基础篇或教材里面哪个章节的概念呢？请老师不吝赐教！","同学你好！感谢你学习数据库系统概论（高级篇）课程。关系R上的投影是从R中选择出若干属性列组成新的关系。投影操作是从列的角度进行的运算。对投影分解作不严谨的解释就是是采用投影操作将原来的关系R得到一组关系R1，R2，……Rn，其中每个关系Ri （i=1，…n）的属性集合都是R属性集合的子集。祝学习进步~",2021/5/28
113,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）","请问这是X→Y,XY→Z是第几范式?","请问这是X→Y,XY→Z是第几范式?","同学你好！感谢你学习数据库系统概论（基础篇）课程。关系范式为数据库系统概论（高级篇）课程内容，同学可以学习相关课程。 《数据库系统概论（第5版）》第6.2.9节对规范化做了总结。假设存在关系R(U，F)，其中U={XYZ}，F={X->Y， XY->Z}。求候选码：X确定主属性：X，非主属性：Y，Z之后根据范式定义对上述进行判断可得非主属性Y和Z对码为完全函数依赖，为2nf。祝学习进步~",2021/6/6
114,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）",2nf,如果码中的部分属性和一个非主属性一起决定了另一个非主属性，则它属于2nf吗？比如xy→z，xz→w,"同学你好！感谢你学习数据库系统概论（基础篇）课程。关系范式为数据库系统概论（高级篇）课程内容，同学可以学习相关课程。 《数据库系统概论（第5版）》第6.2.9节对规范化做了总结。如果码中的部分属性和一个非主属性一起决定了另一个非主属性，则它属于2nf吗？   是否属于2nf，只看是否存在非主属性到码的部分函数依赖，跟这个问题的假设没有关系。 假设存在关系R(U，F)，其中U={XYZW}，F={XY->Z， XZ->W}。求候选码：XY确定主属性：XY，非主属性：W，Z之后根据范式定义对上述进行判断即可。不存在非主属性到码的部分函数依赖，因此，这个关系是2nf。祝学习进步~",2021/6/6
115,第21讲 封锁技术,封锁及封锁协议,三级封锁协议,请问一下把一级封锁协议中的长写锁改为短写锁，可以防止丢失修改吗,"""同学你好！感谢你学习数据库系统概论（高级篇）课程。一级封锁协议是：事务T在修改数据R之前必须先对其加X锁，直到事务结束才释放。事务结束包括正常结束（COMMIT）和非正常结束（ROLLBACK）。改为短写锁不能避免丢失修改。若操作结束立即释放锁，此时对数据的更改没有写入数据库中，其他事务看不到修改的结果。祝学习进步~""",2021/6/26
116,第7讲 E-R模型及设计,E-R图及其设计,顺序步骤,"1 有了表不就行了吗？为啥要有er图，关系模型的概念？它们的作用分别是什么？2 是先设计表，还是先设计er图，还是先设计关系模型？","1.首先，表是非结构化，且未经规范化的。数据库需要高效且条理分明地存储数据，结构化存储大量的数据信息，方便用户进行有效的检索和访问，使人们能够更加迅速和方便地管理数据，且有效地保持数据信息的一致性、完整性、降低数据冗余。显然直接使用表不能做到这些。2.关系模型是数据模型的一种，是关系数据库系统中的数据组织方式。数据模型是数据特征的抽象，它从抽象层次上描述了系统的静态特征、动态行为和约束条件，为数据库系统的信息表示与操作提供一个抽象的框架。数据模型描述了三部分内容：数据结构、数据操作和数据约束。数据模型是数据库设计中用来对现实世界进行抽象的工具，是数据库中用于提供信息表示和操作手段的形式构架。使用数据模型，能较好地模拟现实世界；容易为人所理解；便于在计算机中实现。3.ER图是描述现实世界概念模型的一种常用且有效的方法，能够更加清晰地表示描述现实世界关系。设计ER图前需要进行需求分析，梳理清楚实体、属性、码、实体集以及实体与实体之间的关系、不同实体集的关系等等，从而抽象出概念模型，进行ER图设计。4.关于关系模型，请学习课程第2讲并阅读《数据库系统概论》书本对应章节。关于ER图及其设计设计，可以学习《数据库系统概论》高级篇MOOC第7-9讲并阅读《数据库系统概论》书本对应章节.",2022/5/16
117,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）","关系数据库理论-规范化","有关系模式A（C，T，H，R，S），其中各属性的含义是：C：课程，T：教员，H：上课时间，R：教室，S：学生。根据语义有如下函数依赖：C→T     （H，R）→C（H，T）→R（H，S）→R则关系模式A可以达到几范式？为什么？","(H，S) -> R和(H，R) -> T根据伪传递规则用(H，S)代替(H，R)，有(H，H，S) -> T即(H，S) -> T (H，S) -> R和(H，R) -> C根据伪传递规则有(H，S)->C (H，S) -> T   (H, S) -> R   (H, S) -> C, 所以(H，S) -> （T，C，R）  所以键为(H，S)，主属性为H、S，非主属性性为C、T、R。由于(H，S) -> C, C -> T，所以T传递依赖于主键(H，S)，存在非主属性对主键的传递依赖。但不存在非主属性对主键的部分依赖，所以关系模式A属于2 NF，但不属于3NF。",2022/5/16
118,第4讲 数据依赖的公理系统,数据依赖的公理系统,请问这个是什么意思,"已知关系模式R(A,B,C),F={ A→C,B→C} ,求F+。这个4.3是求什么闭包？我怎么感觉很懵？",同学你好，课本6.3节函数依赖的公理系统中给出了求解函数依赖集F的闭包算法以及具体例题，相关内容在MOOC《数据库系统概论（高级篇）》第4讲中也有详细的讲解和说明，祝同学学习进步~,2019/12/25
